# Task1: event count per module grouped by hour
module,hour,count
Battery,2026-02-14 00,359639
Battery,2026-02-14 01,258818
Comms,2026-02-14 00,359414
Comms,2026-02-14 01,258018
Diag,2026-02-14 00,359974
Diag,2026-02-14 01,259439
Engine,2026-02-14 00,360407
Engine,2026-02-14 01,258474
GPS,2026-02-14 00,359996
GPS,2026-02-14 01,258465
LiDAR,2026-02-14 00,359518
LiDAR,2026-02-14 01,259500
Motor,2026-02-14 00,359712
Motor,2026-02-14 01,258263
Nav,2026-02-14 00,360023
Nav,2026-02-14 01,258831
Radar,2026-02-14 00,360017
Radar,2026-02-14 01,258992
Sensor,2026-02-14 00,360210
Sensor,2026-02-14 01,258228

# Task2: average speed over lines containing 'spd'
metric,value
spd_line_count,1855546
average_speed,90.028523
min_speed,0.000000
max_speed,180.000000

# Summary
metric,value
total_lines,6185997
valid_lines,6185938
malformed_lines,59
bytes_processed,524288023
